,Track.Name,Artist.Name,Genre,Energy,Danceability,Loudness..dB..,Liveness,Acousticness..,Speechiness.,Popularity
1,Señorita,Shawn Mendes,canadian pop,55,76,-6,8,4,3,79
2,China,Anuel AA,reggaeton flow,81,79,-4,8,8,9,92
3,boyfriend (with Social House),Ariana Grande,dance pop,80,40,-4,16,12,46,85
4,Beautiful People (feat. Khalid),Ed Sheeran,pop,65,64,-8,8,12,19,86
5,Goodbyes (Feat. Young Thug),Post Malone,dfw rap,65,58,-4,11,45,7,94
6,I Don't Care (with Justin Bieber),Ed Sheeran,pop,68,80,-5,9,9,4,84
7,Ransom,Lil Tecca,trap music,64,75,-6,7,2,29,92
8,How Do You Sleep?,Sam Smith,pop,68,48,-5,8,15,9,90
9,Old Town Road - Remix,Lil Nas X,country rap,62,88,-6,11,5,10,87
10,bad guy,Billie Eilish,electropop,43,70,-11,10,33,38,95
11,Callaita,Bad Bunny,reggaeton,62,61,-5,24,60,31,93
12,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,71,82,-4,15,28,7,86
13,Someone You Loved,Lewis Capaldi,pop,41,50,-6,11,75,3,88
14,Otro Trago - Remix,Sech,panamanian pop,79,73,-2,6,7,20,87
15,Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,50,83,-4,12,10,5,92
16,No Guidance (feat. Drake),Chris Brown,dance pop,45,70,-7,16,12,15,82
17,LA CANCIÓN,J Balvin,latin,65,75,-6,11,15,32,90
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,48,76,-6,7,56,5,91
19,Lalala,Y2K,canadian hip hop,39,84,-8,14,18,8,88
20,Truth Hurts,Lizzo,escape room,62,72,-3,12,11,11,91
21,Piece Of Your Heart,MEDUZA,pop house,74,68,-7,7,4,3,91
22,Panini,Lil Nas X,country rap,59,70,-6,12,34,8,91
23,No Me Conoce - Remix,Jhay Cortez,reggaeton flow,79,81,-4,9,14,7,83
24,Soltera - Remix,Lunay,latin,78,80,-4,44,36,4,91
25,bad guy (with Justin Bieber),Billie Eilish,electropop,45,67,-11,12,25,30,89
26,If I Can't Have You,Shawn Mendes,canadian pop,82,69,-4,13,49,6,70
27,Dance Monkey,Tones and I,australian pop,59,82,-6,18,69,10,83
28,It's You,Ali Gatie,canadian hip hop,46,73,-7,19,37,3,89
29,Con Calma,Daddy Yankee,latin,86,74,-3,6,11,6,91
30,QUE PRETENDES,J Balvin,latin,79,64,-4,36,3,25,89
31,Takeaway,The Chainsmokers,edm,51,29,-8,10,12,4,84
32,7 rings,Ariana Grande,dance pop,32,78,-11,9,59,33,89
33,0.958333333,Maluma,reggaeton,71,78,-5,9,22,28,89
34,The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,59,80,-7,13,2,15,89
35,Never Really Over,Katy Perry,dance pop,88,77,-5,32,19,6,89
36,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room,72,66,-7,14,18,6,89
37,Otro Trago,Sech,panamanian pop,70,75,-5,11,14,34,91
38,Antisocial (with Travis Scott),Ed Sheeran,pop,82,72,-5,36,13,5,87
39,Sucker,Jonas Brothers,boy band,73,84,-5,11,4,6,80
40,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,dance pop,56,81,-6,6,48,7,78
41,Higher Love,Kygo,edm,68,69,-7,10,2,3,88
42,You Need To Calm Down,Taylor Swift,dance pop,68,77,-6,7,1,5,90
43,Shallow,Lady Gaga,dance pop,39,57,-6,23,37,3,87
44,Talk,Khalid,pop,40,90,-9,6,5,13,84
45,Con Altura,ROSALÍA,r&b en espanol,69,88,-4,5,39,12,88
46,One Thing Right,Marshmello,brostep,62,66,-2,58,7,5,88
47,Te Robaré,Nicky Jam,latin,75,67,-4,8,24,6,88
48,Happier,Marshmello,brostep,79,69,-3,17,19,5,88
49,Call You Mine,The Chainsmokers,edm,70,59,-6,41,23,3,88
50,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,79,75,-6,7,21,12,82
